Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Towne,P,CMU,2009,1,7.71,0,1,10,0,0,0,0,0,14,15,13,12,9,15,1,0,3,55,0.273,0,4,0,0
Jorgensen,P,CCU ,2016,8,14.21,1,1,11,1,0,0,0,0,12.2,25,24,20,11,11,5,1,1,61,0.41,2,1,0,0
Capra,P,RU,2013,4,8.25,2,3,8,7,0,0,1,0,24,28,22,22,26,19,7,0,3,94,0.298,3,4,0,0
Harshman,P,CSUP ,2008,7,10.2,1,1,11,3,0,0,0,0,30,50,50,34,24,15,7,0,6,140,0.357,6,4,2,0
Wilde,P,CSUP ,2016,3,6,0,0,3,0,0,0,0,0,3,3,2,2,2,4,1,0,0,11,0.273,1,0,0,0
Dunn,P,CSUP ,2011,4,2.57,1,0,1,1,1,0,0,0,7,8,2,2,0,5,1,0,0,29,0.276,1,0,0,0
Fudge,P,NMHU ,2015,5,13.5,0,0,1,0,0,0,0,0,0.2,2,1,1,0,2,1,0,0,4,0.5,0,0,0,0
Castaneda,P,CSUP ,2016,3,7.59,0,0,11,0,0,0,0,0,10.2,21,12,9,0,6,6,0,1,55,0.382,0,1,1,0
Gorzitze,P,CMU,2010,2,7.77,1,1,7,3,0,0,0,0,22,32,23,19,9,6,5,1,4,99,0.323,2,3,0,0
Smiley,P,CSM ,2008,5,11.27,1,3,14,7,0,0,0,0,42.1,78,66,53,25,27,23,1,6,192,0.406,3,4,0,0
Trujillo,P,NMHU ,2016,7,10.86,1,3,13,4,0,0,0,1,29,42,37,35,21,18,6,1,2,118,0.356,2,3,2,0
Schwein,P,RU ,2015,7,6.17,2,4,15,8,0,0,0,1,54,79,47,37,15,28,8,3,3,238,0.332,8,2,1,0
Evans,P,CSM,2010,7,13.5,0,0,3,0,0,0,0,0,2,3,3,3,0,1,3,0,0,8,0.375,1,1,0,0
Gutierrez,P,NMHU ,2015,5,6.55,1,0,7,5,1,0,0,0,33,42,24,24,11,24,7,1,4,133,0.316,3,5,1,0
Roberts,P,CMU ,2016,1,3.52,1,0,11,0,0,0,1,0,7.2,12,3,3,2,7,5,1,0,32,0.375,2,2,0,0
Hall,P,UNK ,2008,4,7.84,3,0,19,0,0,0,0,1,31,51,34,27,17,19,8,2,5,134,0.381,3,1,0,0
Wright,P,ASU,2014,6,9.58,0,1,14,0,0,0,0,1,20.2,30,25,22,14,10,3,1,3,88,0.341,3,4,2,0
McDermott,P,NMHU ,2012,2,6.17,0,0,11,0,0,0,0,0,11.2,10,12,8,9,5,1,0,0,43,0.233,0,1,0,0
Shea,P,CMU,2009,1,7.47,3,1,11,6,0,0,0,1,31.1,48,29,26,16,18,10,0,1,130,0.369,1,3,0,0
Reynolds,P,CCU,2013,8,10.05,0,1,15,1,0,0,1,0,14.1,23,20,16,7,8,7,0,1,64,0.359,4,2,0,0
Clemens,P,CSUP ,2012,3,6.32,5,2,15,10,1,1,0,0,62.2,85,49,44,32,18,17,1,2,264,0.322,7,5,3,0
Sirak,P,NMHU ,2012,2,5.65,7,1,17,12,1,1,0,1,78,102,61,49,18,47,14,3,7,323,0.316,2,7,1,0
Perlitsh,P,CSUP,2009,3,1.64,2,1,7,1,0,0,0,0,11,14,4,2,5,5,1,0,0,43,0.326,1,2,1,0
O'Conner,P,UNK,2010,3,6.9,7,4,14,13,2,0,1,0,60,67,50,46,29,51,11,0,6,242,0.277,6,12,3,0
Ogden,P,CMU ,2008,1,9,1,0,10,0,0,0,0,0,12,20,13,12,4,13,5,0,4,54,0.37,2,0,0,0
Urso,P,CSUP,2009,3,10.5,1,1,13,4,0,0,1,1,24,34,29,28,28,32,9,0,3,102,0.333,5,8,0,0
Menard,P,CSM ,2017,2,12.79,0,1,5,0,0,0,0,0,6.1,13,9,9,3,2,1,0,1,29,0.391,1,1,0,0
Bachman,P,CMU,2010,2,8.13,3,6,12,12,2,1,1,0,65.1,95,67,59,22,46,23,0,9,273,0.348,0,12,0,0
Guyer,P,CCU,2010,8,9,0,0,2,0,0,0,0,0,2,5,3,2,0,1,0,0,1,12,0.417,0,0,0,0
Keith,P,NMHU,2009,2,4.3,2,1,17,0,0,0,0,1,29.1,37,17,14,7,20,3,0,3,120,0.308,1,0,0,0
