Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Aramovich,P, ASU,2013,7,12.63,0,7,13,8,0,0,1,0,41.1,73,62,58,26,25,15,6,4,187,0.390,16,6,2,No,No
Boyle,P, ASU,2013,7,99,0,0,1,0,0,0,1,0,0.1,3,4,4,1,0,2,1,0,4,0.750,0,0,0,No,No
Cunningham,P, ASU,2013,7,40.5,0,0,1,0,0,0,1,0,0.2,3,3,3,1,0,2,0,0,5,0.600,0,0,0,No,No
English,P, ASU,2013,7,9.97,1,6,12,11,0,0,1,0,49.2,69,62,55,31,21,13,0,5,199,0.347,6,14,2,No,No
Girdes,P, ASU,2013,7,12.46,0,0,5,0,0,0,1,0,4.1,5,7,6,8,1,2,0,0,17,0.294,0,1,0,No,No
Goldfarb,P, ASU,2013,7,7.11,0,0,3,0,0,0,1,0,6.1,7,5,5,9,8,0,0,0,25,0.280,2,1,0,No,No
Goldfarb,P, ASU,2013,7,64.8,0,1,2,1,0,0,1,0,1.2,11,13,12,2,2,3,2,0,16,0.688,1,3,0,No,No
Kildow,P, ASU,2013,7,6.75,0,1,3,0,0,0,1,0,2.2,8,2,2,3,0,0,0,0,14,0.571,0,0,0,No,No
Kriesel,P, ASU,2013,7,7.71,2,1,14,0,0,0,1,0,25.2,36,27,22,20,12,9,0,5,110,0.327,4,4,1,No,No
Nichols,P, ASU,2013,7,23,0,1,11,0,0,0,1,0,9,26,35,23,15,5,7,0,2,55,0.473,3,5,1,No,No
Nutsch,P, ASU,2013,7,10.12,0,0,4,0,0,0,1,0,5.1,13,12,6,4,3,1,1,1,28,0.464,0,1,1,No,No
Pavel,P, ASU,2013,7,19.89,0,0,7,0,0,0,1,0,6.1,22,21,14,8,5,5,0,2,42,0.524,0,1,0,No,No
Richardson,P, ASU,2013,7,9.96,0,3,16,2,0,0,1,1,34.1,55,46,38,23,25,16,2,1,151,0.364,1,10,3,No,No
Riehl,P, ASU,2013,7,12.96,0,0,9,0,0,0,1,0,8.1,13,12,12,13,3,2,1,0,37,0.351,3,1,0,No,No
Rochford,P, ASU,2013,7,11.03,0,2,14,1,0,0,1,0,23.2,44,37,29,16,19,8,0,1,114,0.386,3,1,0,No,No
Schlagel,P, ASU,2013,7,27,0,0,1,0,0,0,1,0,0.2,1,2,2,1,0,0,0,1,3,0.333,0,1,0,No,No
Schmitt,P, ASU,2013,7,9.54,2,6,13,11,0,0,1,0,50,91,68,53,18,25,14,5,8,233,0.391,2,4,1,No,No
Sedlak,P, ASU,2013,7,10.72,2,6,12,11,2,0,1,0,45.1,75,61,54,31,19,12,2,2,201,0.373,7,6,1,No,No
Shanks,P, ASU,2013,7,10.26,0,1,11,0,0,0,1,1,16.2,27,20,19,9,7,10,0,1,68,0.397,0,4,1,No,No
Spiva,P, ASU,2013,7,54,0,0,2,0,0,0,1,0,1.1,9,8,8,2,1,3,1,0,13,0.692,0,0,0,No,No
Wiemers,P, ASU,2013,7,7.96,3,4,17,4,0,0,1,1,31.2,52,31,28,19,16,8,2,4,137,0.380,7,5,1,No,No
